datetime,month,hour,carbon_intensity_gCO2_kWh,region
2021-01-01 00:00:00,1,0,164.5,North East England
2021-01-01 01:00:00,1,1,158.5,North East England
2021-01-01 02:00:00,1,2,146.5,North East England
2021-01-01 03:00:00,1,3,149.5,North East England
2021-01-01 04:00:00,1,4,140.5,North East England
2021-01-01 05:00:00,1,5,139.5,North East England
2021-01-01 06:00:00,1,6,147.0,North East England
2021-01-01 07:00:00,1,7,148.5,North East England
2021-01-01 08:00:00,1,8,161.0,North East England
2021-01-01 09:00:00,1,9,171.5,North East England
2021-01-01 10:00:00,1,10,184.0,North East England
2021-01-01 11:00:00,1,11,199.0,North East England
2021-01-01 12:00:00,1,12,210.5,North East England
2021-01-01 13:00:00,1,13,215.0,North East England
2021-01-01 14:00:00,1,14,227.0,North East England
2021-01-01 15:00:00,1,15,240.5,North East England
2021-01-01 16:00:00,1,16,247.0,North East England
2021-01-01 17:00:00,1,17,254.5,North East England
2021-01-01 18:00:00,1,18,246.0,North East England
2021-01-01 19:00:00,1,19,235.5,North East England
2021-01-01 20:00:00,1,20,220.5,North East England
2021-01-01 21:00:00,1,21,203.5,North East England
2021-01-01 22:00:00,1,22,186.0,North East England
2021-01-01 23:00:00,1,23,171.5,North East England
2021-01-02 00:00:00,1,0,171.5,North East England
2021-01-02 01:00:00,1,1,162.5,North East England
2021-01-02 02:00:00,1,2,152.0,North East England
2021-01-02 03:00:00,1,3,148.5,North East England
2021-01-02 04:00:00,1,4,143.5,North East England
2021-01-02 05:00:00,1,5,138.5,North East England
2021-01-02 06:00:00,1,6,144.0,North East England
2021-01-02 07:00:00,1,7,149.5,North East England
2021-01-02 08:00:00,1,8,158.5,North East England
2021-01-02 09:00:00,1,9,174.0,North East England
2021-01-02 10:00:00,1,10,195.5,North East England
2021-01-02 11:00:00,1,11,210.5,North East England
2021-01-02 12:00:00,1,12,210.0,North East England
2021-01-02 13:00:00,1,13,221.0,North East England
2021-01-02 14:00:00,1,14,235.0,North East England
2021-01-02 15:00:00,1,15,253.0,North East England
2021-01-02 16:00:00,1,16,256.0,North East England
2021-01-02 17:00:00,1,17,262.0,North East England
2021-01-02 18:00:00,1,18,257.0,North East England
2021-01-02 19:00:00,1,19,243.5,North East England
2021-01-02 20:00:00,1,20,232.5,North East England
2021-01-02 21:00:00,1,21,213.0,North East England
2021-01-02 22:00:00,1,22,190.0,North East England
2021-01-02 23:00:00,1,23,172.0,North East England
2021-01-03 00:00:00,1,0,160.5,North East England
2021-01-03 01:00:00,1,1,154.0,North East England
2021-01-03 02:00:00,1,2,146.0,North East England
2021-01-03 03:00:00,1,3,131.0,North East England
2021-01-03 04:00:00,1,4,126.5,North East England
2021-01-03 05:00:00,1,5,134.0,North East England
2021-01-03 06:00:00,1,6,134.0,North East England
2021-01-03 07:00:00,1,7,153.5,North East England
2021-01-03 08:00:00,1,8,147.0,North East England
2021-01-03 09:00:00,1,9,164.5,North East England
2021-01-03 10:00:00,1,10,187.5,North East England
2021-01-03 11:00:00,1,11,214.0,North East England
2021-01-03 12:00:00,1,12,225.5,North East England
