datetime,month,hour,carbon_intensity_gCO2_kWh,region
2021-01-01 00:00:00,1,0,168.5,West Midlands
2021-01-01 01:00:00,1,1,160.0,West Midlands
2021-01-01 02:00:00,1,2,148.5,West Midlands
2021-01-01 03:00:00,1,3,148.5,West Midlands
2021-01-01 04:00:00,1,4,142.5,West Midlands
2021-01-01 05:00:00,1,5,126.0,West Midlands
2021-01-01 06:00:00,1,6,142.0,West Midlands
2021-01-01 07:00:00,1,7,134.0,West Midlands
2021-01-01 08:00:00,1,8,130.5,West Midlands
2021-01-01 09:00:00,1,9,147.5,West Midlands
2021-01-01 10:00:00,1,10,174.0,West Midlands
2021-01-01 11:00:00,1,11,199.5,West Midlands
2021-01-01 12:00:00,1,12,209.5,West Midlands
2021-01-01 13:00:00,1,13,206.5,West Midlands
2021-01-01 14:00:00,1,14,228.0,West Midlands
2021-01-01 15:00:00,1,15,259.0,West Midlands
2021-01-01 16:00:00,1,16,255.0,West Midlands
2021-01-01 17:00:00,1,17,283.5,West Midlands
2021-01-01 18:00:00,1,18,292.0,West Midlands
2021-01-01 19:00:00,1,19,300.5,West Midlands
2021-01-01 20:00:00,1,20,278.5,West Midlands
2021-01-01 21:00:00,1,21,255.0,West Midlands
2021-01-01 22:00:00,1,22,241.0,West Midlands
2021-01-01 23:00:00,1,23,220.0,West Midlands
2021-01-02 00:00:00,1,0,209.0,West Midlands
2021-01-02 01:00:00,1,1,221.0,West Midlands
2021-01-02 02:00:00,1,2,223.5,West Midlands
2021-01-02 03:00:00,1,3,214.0,West Midlands
2021-01-02 04:00:00,1,4,199.0,West Midlands
2021-01-02 05:00:00,1,5,185.0,West Midlands
2021-01-02 06:00:00,1,6,198.5,West Midlands
2021-01-02 07:00:00,1,7,222.5,West Midlands
2021-01-02 08:00:00,1,8,259.5,West Midlands
2021-01-02 09:00:00,1,9,277.0,West Midlands
2021-01-02 10:00:00,1,10,298.0,West Midlands
2021-01-02 11:00:00,1,11,304.5,West Midlands
2021-01-02 12:00:00,1,12,299.0,West Midlands
2021-01-02 13:00:00,1,13,308.5,West Midlands
2021-01-02 14:00:00,1,14,299.0,West Midlands
2021-01-02 15:00:00,1,15,312.0,West Midlands
2021-01-02 16:00:00,1,16,310.0,West Midlands
2021-01-02 17:00:00,1,17,304.0,West Midlands
2021-01-02 18:00:00,1,18,317.0,West Midlands
2021-01-02 19:00:00,1,19,291.5,West Midlands
2021-01-02 20:00:00,1,20,277.5,West Midlands
2021-01-02 21:00:00,1,21,234.5,West Midlands
2021-01-02 22:00:00,1,22,194.5,West Midlands
2021-01-02 23:00:00,1,23,155.5,West Midlands
2021-01-03 00:00:00,1,0,134.0,West Midlands
2021-01-03 01:00:00,1,1,131.0,West Midlands
2021-01-03 02:00:00,1,2,99.5,West Midlands
2021-01-03 03:00:00,1,3,70.0,West Midlands
2021-01-03 04:00:00,1,4,77.0,West Midlands
2021-01-03 05:00:00,1,5,91.5,West Midlands
2021-01-03 06:00:00,1,6,94.0,West Midlands
2021-01-03 07:00:00,1,7,120.0,West Midlands
2021-01-03 08:00:00,1,8,167.0,West Midlands
2021-01-03 09:00:00,1,9,209.0,West Midlands
2021-01-03 10:00:00,1,10,240.5,West Midlands
2021-01-03 11:00:00,1,11,266.0,West Midlands
2021-01-03 12:00:00,1,12,273.5,West Midlands
2021-01-03 13:00:00,1,13,265.0,West Midlands
2021-01-03 14:00:00,1,14,269.5,West Midlands
2021-01-03 15:00:00,1,15,254.5,West Midlands
2021-01-03 16:00:00,1,16,251.0,West Midlands
2021-01-03 17:00:00,1,17,260.0,West Midlands
2021-01-03 18:00:00,1,18,266.0,West Midlands
2021-01-03 19:00:00,1,19,252.0,West Midlands
2021-01-03 20:00:00,1,20,222.5,West Midlands
2021-01-03 21:00:00,1,21,203.5,West Midlands
2021-01-03 22:00:00,1,22,173.5,West Midlands
2021-01-03 23:00:00,1,23,106.0,West Midlands
2021-01-04 00:00:00,1,0,101.0,West Midlands
2021-01-04 01:00:00,1,1,100.0,West Midlands
2021-01-04 02:00:00,1,2,95.0,West Midlands
2021-01-04 03:00:00,1,3,89.5,West Midlands
2021-01-04 04:00:00,1,4,87.0,West Midlands
2021-01-04 05:00:00,1,5,89.0,West Midlands
2021-01-04 06:00:00,1,6,135.0,West Midlands
2021-01-04 07:00:00,1,7,226.0,West Midlands
2021-01-04 08:00:00,1,8,275.5,West Midlands
2021-01-04 09:00:00,1,9,291.0,West Midlands
2021-01-04 10:00:00,1,10,285.5,West Midlands
2021-01-04 11:00:00,1,11,291.5,West Midlands
2021-01-04 12:00:00,1,12,292.0,West Midlands
2021-01-04 13:00:00,1,13,292.5,West Midlands
2021-01-04 14:00:00,1,14,286.5,West Midlands
2021-01-04 15:00:00,1,15,289.5,West Midlands
2021-01-04 16:00:00,1,16,286.0,West Midlands
2021-01-04 17:00:00,1,17,292.5,West Midlands
2021-01-04 18:00:00,1,18,302.5,West Midlands
2021-01-04 19:00:00,1,19,294.0,West Midlands
2021-01-04 20:00:00,1,20,257.0,West Midlands
2021-01-04 21:00:00,1,21,222.5,West Midlands
2021-01-04 22:00:00,1,22,207.0,West Midlands
2021-01-04 23:00:00,1,23,150.0,West Midlands
2021-01-05 00:00:00,1,0,141.0,West Midlands
2021-01-05 01:00:00,1,1,137.5,West Midlands
2021-01-05 02:00:00,1,2,136.5,West Midlands
2021-01-05 03:00:00,1,3,123.5,West Midlands
2021-01-05 04:00:00,1,4,112.0,West Midlands
2021-01-05 05:00:00,1,5,139.0,West Midlands
2021-01-05 06:00:00,1,6,189.0,West Midlands
2021-01-05 07:00:00,1,7,267.0,West Midlands
2021-01-05 08:00:00,1,8,328.0,West Midlands
2021-01-05 09:00:00,1,9,336.5,West Midlands
2021-01-05 10:00:00,1,10,332.0,West Midlands
2021-01-05 11:00:00,1,11,324.5,West Midlands
2021-01-05 12:00:00,1,12,314.5,West Midlands
2021-01-05 13:00:00,1,13,310.5,West Midlands
2021-01-05 14:00:00,1,14,314.0,West Midlands
2021-01-05 15:00:00,1,15,313.0,West Midlands
2021-01-05 16:00:00,1,16,325.5,West Midlands
2021-01-05 17:00:00,1,17,318.5,West Midlands
2021-01-05 18:00:00,1,18,332.5,West Midlands
2021-01-05 19:00:00,1,19,346.5,West Midlands
2021-01-05 20:00:00,1,20,332.5,West Midlands
2021-01-05 21:00:00,1,21,305.5,West Midlands
2021-01-05 22:00:00,1,22,274.5,West Midlands
2021-01-05 23:00:00,1,23,238.0,West Midlands
2021-01-06 00:00:00,1,0,234.0,West Midlands
2021-01-06 01:00:00,1,1,244.5,West Midlands
2021-01-06 02:00:00,1,2,236.0,West Midlands
2021-01-06 03:00:00,1,3,222.5,West Midlands
2021-01-06 04:00:00,1,4,229.0,West Midlands
2021-01-06 05:00:00,1,5,256.0,West Midlands
2021-01-06 06:00:00,1,6,319.5,West Midlands
2021-01-06 07:00:00,1,7,335.0,West Midlands
2021-01-06 08:00:00,1,8,367.5,West Midlands
2021-01-06 09:00:00,1,9,363.0,West Midlands
2021-01-06 10:00:00,1,10,355.5,West Midlands
2021-01-06 11:00:00,1,11,348.0,West Midlands
2021-01-06 12:00:00,1,12,334.0,West Midlands
2021-01-06 13:00:00,1,13,334.0,West Midlands
2021-01-06 14:00:00,1,14,341.0,West Midlands
2021-01-06 15:00:00,1,15,352.0,West Midlands
2021-01-06 16:00:00,1,16,367.0,West Midlands
2021-01-06 17:00:00,1,17,376.5,West Midlands
2021-01-06 18:00:00,1,18,361.0,West Midlands
2021-01-06 19:00:00,1,19,383.5,West Midlands
2021-01-06 20:00:00,1,20,418.0,West Midlands
2021-01-06 21:00:00,1,21,397.0,West Midlands
