date,year,month_num,operator,monthly_trips,fleet_size,trips_per_scooter_per_day,daily_trips,avg_trip_distance_km,avg_trip_duration_min
2022-01-01,2022,1,Neuron,25395,706,1.16,819.0,1.64,8.52
2022-02-01,2022,2,Neuron,33626,637,1.88,1201.0,1.64,8.52
2022-03-01,2022,3,Neuron,42341,640,2.13,1366.0,1.64,8.52
2022-04-01,2022,4,Neuron,37177,552,2.24,1239.0,1.64,8.52
2022-05-01,2022,5,Neuron,46651,644,2.34,1505.0,1.64,8.52
2022-06-01,2022,6,Neuron,40864,652,2.09,1362.0,1.64,8.52
2022-07-01,2022,7,Neuron,38996,608,2.07,1258.0,1.64,8.52
2022-08-01,2022,8,Neuron,34481,570,1.95,1112.0,1.64,8.52
2022-09-01,2022,9,Neuron,32524,606,1.79,1084.0,1.64,8.52
2022-10-01,2022,10,Neuron,39690,641,2.0,1280.0,1.64,8.52
2022-11-01,2022,11,Neuron,28419,643,1.47,947.0,1.64,8.52
2022-12-01,2022,12,Neuron,16904,639,0.85,545.0,1.64,8.52
2023-01-01,2023,1,Neuron,20178,648,1.0,651.0,1.64,8.52
2023-02-01,2023,2,Neuron,21820,653,1.19,779.0,1.64,8.52
2023-03-01,2023,3,Neuron,20822,753,0.89,672.0,1.64,8.52
2023-04-01,2023,4,Neuron,21427,744,0.96,714.0,1.64,8.52
2023-05-01,2023,5,Neuron,29183,746,1.26,941.0,1.64,8.52
2023-06-01,2023,6,Neuron,26336,747,1.17,878.0,1.64,8.52
2023-07-01,2023,7,Neuron,24317,749,1.05,784.0,1.64,8.52
2023-08-01,2023,8,Neuron,24486,745,1.06,790.0,1.64,8.52
2023-09-01,2023,9,Neuron,29293,753,1.3,976.0,1.64,8.52
2023-10-01,2023,10,Neuron,34816,756,1.49,1123.0,1.64,8.52
2023-11-01,2023,11,Neuron,27908,744,1.25,930.0,1.64,8.52
2023-12-01,2023,12,Neuron,18200,746,0.79,587.0,1.64,8.52
2024-01-01,2024,1,Neuron,18113,751,0.78,584.0,1.64,8.52
2024-02-01,2024,2,Neuron,23660,824,0.99,816.0,1.64,8.52
2024-03-01,2024,3,Neuron,22745,852,0.86,734.0,1.64,8.52
2024-04-01,2024,4,Neuron,20091,845,0.79,670.0,1.64,8.52
2024-05-01,2024,5,Neuron,26968,898,0.97,870.0,1.64,8.52
