datetime,month,day_of_year,hour,GHI_Wm2,T_amb_C,pv_kWh_per_kWp
2020-01-01 00:11:00,1,1,0,0.0,2.07,0.0
2020-01-01 01:11:00,1,1,1,0.0,2.6,0.0
2020-01-01 02:11:00,1,1,2,0.0,2.6,0.0
2020-01-01 03:11:00,1,1,3,0.0,2.6,0.0
2020-01-01 04:11:00,1,1,4,0.0,2.6,0.0
2020-01-01 05:11:00,1,1,5,0.0,3.13,0.0
2020-01-01 06:11:00,1,1,6,0.0,3.13,0.0
2020-01-01 07:11:00,1,1,7,0.0,3.13,0.0
2020-01-01 08:11:00,1,1,8,0.0,3.13,0.0
2020-01-01 09:11:00,1,1,9,104.1,3.13,0.0796
2020-01-01 10:11:00,1,1,10,454.5,3.66,0.39673
2020-01-01 11:11:00,1,1,11,566.3,4.19,0.49128
2020-01-01 12:11:00,1,1,12,590.4,4.72,0.51187
2020-01-01 13:11:00,1,1,13,403.3,5.25,0.34985
2020-01-01 14:11:00,1,1,14,420.4,5.25,0.36484
2020-01-01 15:11:00,1,1,15,10.3,5.25,0.00216
2020-01-01 16:11:00,1,1,16,0.0,4.72,0.0
2020-01-01 17:11:00,1,1,17,0.0,4.19,0.0
2020-01-01 18:11:00,1,1,18,0.0,4.19,0.0
2020-01-01 19:11:00,1,1,19,0.0,4.72,0.0
2020-01-01 20:11:00,1,1,20,0.0,4.19,0.0
2020-01-01 21:11:00,1,1,21,0.0,4.19,0.0
2020-01-01 22:11:00,1,1,22,0.0,4.72,0.0
2020-01-01 23:11:00,1,1,23,0.0,4.72,0.0
2020-01-02 00:11:00,1,2,0,0.0,5.25,0.0
2020-01-02 01:11:00,1,2,1,0.0,5.25,0.0
2020-01-02 02:11:00,1,2,2,0.0,5.25,0.0
2020-01-02 03:11:00,1,2,3,0.0,5.78,0.0
2020-01-02 04:11:00,1,2,4,0.0,5.78,0.0
2020-01-02 05:11:00,1,2,5,0.0,5.78,0.0
2020-01-02 06:11:00,1,2,6,0.0,5.78,0.0
2020-01-02 07:11:00,1,2,7,0.0,6.31,0.0
2020-01-02 08:11:00,1,2,8,0.0,6.31,0.0
2020-01-02 09:11:00,1,2,9,10.5,6.31,0.00224
2020-01-02 10:11:00,1,2,10,12.2,6.84,0.00318
2020-01-02 11:11:00,1,2,11,42.8,7.37,0.02481
2020-01-02 12:11:00,1,2,12,24.5,7.9,0.01099
2020-01-02 13:11:00,1,2,13,21.8,7.9,0.00918
2020-01-02 14:11:00,1,2,14,59.6,7.9,0.03868
2020-01-02 15:11:00,1,2,15,4.0,7.9,0.0
2020-01-02 16:11:00,1,2,16,0.0,7.9,0.0
2020-01-02 17:11:00,1,2,17,0.0,8.43,0.0
2020-01-02 18:11:00,1,2,18,0.0,8.96,0.0
2020-01-02 19:11:00,1,2,19,0.0,9.49,0.0
2020-01-02 20:11:00,1,2,20,0.0,9.49,0.0
2020-01-02 21:11:00,1,2,21,0.0,10.02,0.0
2020-01-02 22:11:00,1,2,22,0.0,10.02,0.0
2020-01-02 23:11:00,1,2,23,0.0,10.02,0.0
2020-01-03 00:11:00,1,3,0,0.0,10.02,0.0
2020-01-03 01:11:00,1,3,1,0.0,10.02,0.0
2020-01-03 02:11:00,1,3,2,0.0,9.49,0.0
2020-01-03 03:11:00,1,3,3,0.0,8.43,0.0
2020-01-03 04:11:00,1,3,4,0.0,7.37,0.0
2020-01-03 05:11:00,1,3,5,0.0,5.78,0.0
2020-01-03 06:11:00,1,3,6,0.0,4.72,0.0
2020-01-03 07:11:00,1,3,7,0.0,4.19,0.0
2020-01-03 08:11:00,1,3,8,0.0,3.66,0.0
2020-01-03 09:11:00,1,3,9,175.5,3.66,0.14545
2020-01-03 10:11:00,1,3,10,477.6,4.19,0.42149
2020-01-03 11:11:00,1,3,11,574.5,4.72,0.50611
2020-01-03 12:11:00,1,3,12,623.8,5.78,0.54493
2020-01-03 13:11:00,1,3,13,580.8,5.78,0.50854
2020-01-03 14:11:00,1,3,14,232.2,5.78,0.19615
2020-01-03 15:11:00,1,3,15,13.5,5.78,0.00392
2020-01-03 16:11:00,1,3,16,0.0,5.25,0.0
2020-01-03 17:11:00,1,3,17,0.0,4.72,0.0
2020-01-03 18:11:00,1,3,18,0.0,4.72,0.0
2020-01-03 19:11:00,1,3,19,0.0,5.25,0.0
2020-01-03 20:11:00,1,3,20,0.0,5.25,0.0
2020-01-03 21:11:00,1,3,21,0.0,5.78,0.0
2020-01-03 22:11:00,1,3,22,0.0,5.78,0.0
2020-01-03 23:11:00,1,3,23,0.0,6.31,0.0
2020-01-04 00:11:00,1,4,0,0.0,6.31,0.0
2020-01-04 01:11:00,1,4,1,0.0,6.31,0.0
2020-01-04 02:11:00,1,4,2,0.0,6.31,0.0
2020-01-04 03:11:00,1,4,3,0.0,6.84,0.0
2020-01-04 04:11:00,1,4,4,0.0,6.84,0.0
2020-01-04 05:11:00,1,4,5,0.0,6.84,0.0
2020-01-04 06:11:00,1,4,6,0.0,6.84,0.0
2020-01-04 07:11:00,1,4,7,0.0,6.84,0.0
2020-01-04 08:11:00,1,4,8,0.0,6.84,0.0
2020-01-04 09:11:00,1,4,9,38.9,6.84,0.02223
2020-01-04 10:11:00,1,4,10,41.3,7.37,0.02376
2020-01-04 11:11:00,1,4,11,464.5,7.9,0.405
2020-01-04 12:11:00,1,4,12,408.8,7.9,0.3546
2020-01-04 13:11:00,1,4,13,517.8,7.9,0.44998
2020-01-04 14:11:00,1,4,14,306.8,7.9,0.26228
2020-01-04 15:11:00,1,4,15,14.3,7.9,0.00433
2020-01-04 16:11:00,1,4,16,0.0,7.37,0.0
2020-01-04 17:11:00,1,4,17,0.0,7.37,0.0
2020-01-04 18:11:00,1,4,18,0.0,7.37,0.0
2020-01-04 19:11:00,1,4,19,0.0,6.84,0.0
2020-01-04 20:11:00,1,4,20,0.0,6.84,0.0
2020-01-04 21:11:00,1,4,21,0.0,6.31,0.0
2020-01-04 22:11:00,1,4,22,0.0,6.31,0.0
2020-01-04 23:11:00,1,4,23,0.0,6.31,0.0
2020-01-05 00:11:00,1,5,0,0.0,6.84,0.0
2020-01-05 01:11:00,1,5,1,0.0,7.37,0.0
2020-01-05 02:11:00,1,5,2,0.0,7.37,0.0
2020-01-05 03:11:00,1,5,3,0.0,7.9,0.0
2020-01-05 04:11:00,1,5,4,0.0,7.9,0.0
2020-01-05 05:11:00,1,5,5,0.0,7.9,0.0
2020-01-05 06:11:00,1,5,6,0.0,7.9,0.0
2020-01-05 07:11:00,1,5,7,0.0,7.9,0.0
2020-01-05 08:11:00,1,5,8,0.0,7.9,0.0
2020-01-05 09:11:00,1,5,9,2.6,7.9,0.0
2020-01-05 10:11:00,1,5,10,20.1,7.9,0.00801
2020-01-05 11:11:00,1,5,11,315.1,8.43,0.26928
2020-01-05 12:11:00,1,5,12,618.9,8.43,0.535
2020-01-05 13:11:00,1,5,13,562.1,8.96,0.48502
2020-01-05 14:11:00,1,5,14,273.2,8.96,0.23047
2020-01-05 15:11:00,1,5,15,2.4,8.96,0.0
2020-01-05 16:11:00,1,5,16,0.0,8.96,0.0
2020-01-05 17:11:00,1,5,17,0.0,8.96,0.0
2020-01-05 18:11:00,1,5,18,0.0,8.96,0.0
2020-01-05 19:11:00,1,5,19,0.0,8.96,0.0
2020-01-05 20:11:00,1,5,20,0.0,8.96,0.0
2020-01-05 21:11:00,1,5,21,0.0,8.96,0.0
2020-01-05 22:11:00,1,5,22,0.0,8.43,0.0
