datetime,month,day_of_year,hour,GHI_Wm2,T_amb_C,pv_kWh_per_kWp
2020-01-01 00:11:00,1,1,0,0.0,6.31,0.0
2020-01-01 01:11:00,1,1,1,0.0,6.31,0.0
2020-01-01 02:11:00,1,1,2,0.0,5.78,0.0
2020-01-01 03:11:00,1,1,3,0.0,5.78,0.0
2020-01-01 04:11:00,1,1,4,0.0,5.25,0.0
2020-01-01 05:11:00,1,1,5,0.0,4.72,0.0
2020-01-01 06:11:00,1,1,6,0.0,4.72,0.0
2020-01-01 07:11:00,1,1,7,0.0,4.72,0.0
2020-01-01 08:11:00,1,1,8,0.0,4.19,0.0
2020-01-01 09:11:00,1,1,9,14.3,4.19,0.00443
2020-01-01 10:11:00,1,1,10,34.8,4.19,0.01886
2020-01-01 11:11:00,1,1,11,49.1,4.72,0.03012
2020-01-01 12:11:00,1,1,12,76.2,4.72,0.05303
2020-01-01 13:11:00,1,1,13,60.7,5.25,0.03961
2020-01-01 14:11:00,1,1,14,31.2,5.25,0.01606
2020-01-01 15:11:00,1,1,15,14.3,5.78,0.00439
2020-01-01 16:11:00,1,1,16,0.0,5.78,0.0
2020-01-01 17:11:00,1,1,17,0.0,5.78,0.0
2020-01-01 18:11:00,1,1,18,0.0,5.78,0.0
2020-01-01 19:11:00,1,1,19,0.0,6.31,0.0
2020-01-01 20:11:00,1,1,20,0.0,6.31,0.0
2020-01-01 21:11:00,1,1,21,0.0,6.84,0.0
2020-01-01 22:11:00,1,1,22,0.0,6.84,0.0
2020-01-01 23:11:00,1,1,23,0.0,6.84,0.0
2020-01-02 00:11:00,1,2,0,0.0,6.84,0.0
2020-01-02 01:11:00,1,2,1,0.0,7.37,0.0
2020-01-02 02:11:00,1,2,2,0.0,7.37,0.0
2020-01-02 03:11:00,1,2,3,0.0,7.37,0.0
2020-01-02 04:11:00,1,2,4,0.0,7.37,0.0
2020-01-02 05:11:00,1,2,5,0.0,7.37,0.0
2020-01-02 06:11:00,1,2,6,0.0,7.37,0.0
2020-01-02 07:11:00,1,2,7,0.0,7.37,0.0
2020-01-02 08:11:00,1,2,8,0.0,7.9,0.0
2020-01-02 09:11:00,1,2,9,18.7,7.9,0.00711
2020-01-02 10:11:00,1,2,10,11.6,7.9,0.0028
2020-01-02 11:11:00,1,2,11,96.8,8.43,0.0702
2020-01-02 12:11:00,1,2,12,63.4,8.43,0.04129
2020-01-02 13:11:00,1,2,13,51.8,8.96,0.03169
2020-01-02 14:11:00,1,2,14,34.8,8.96,0.01843
2020-01-02 15:11:00,1,2,15,6.2,8.96,0.00024
2020-01-02 16:11:00,1,2,16,0.0,8.96,0.0
2020-01-02 17:11:00,1,2,17,0.0,8.96,0.0
2020-01-02 18:11:00,1,2,18,0.0,8.96,0.0
