date,year,month_num,operator,monthly_trips,fleet_size,trips_per_bike_per_day,daily_trips,avg_trip_distance_km,avg_trip_duration_min
2023-01-01,2023,1,UoW Bikes (DfT-calibrated),17025,362,1.52,549.0,3.06,21.21
2023-02-01,2023,2,UoW Bikes (DfT-calibrated),17416,359,1.73,622.0,3.1,21.17
2023-03-01,2023,3,UoW Bikes (DfT-calibrated),23062,375,1.98,744.0,3.06,20.8
2023-04-01,2023,4,UoW Bikes (DfT-calibrated),20196,380,1.77,673.0,3.11,21.45
2023-05-01,2023,5,UoW Bikes (DfT-calibrated),24344,367,2.14,785.0,3.04,20.67
2023-06-01,2023,6,UoW Bikes (DfT-calibrated),24226,376,2.15,808.0,3.12,21.22
2023-07-01,2023,7,UoW Bikes (DfT-calibrated),25194,390,2.08,813.0,3.09,21.05
2023-08-01,2023,8,UoW Bikes (DfT-calibrated),26915,391,2.22,868.0,3.12,21.09
2023-09-01,2023,9,UoW Bikes (DfT-calibrated),27124,398,2.27,904.0,3.08,21.12
2023-10-01,2023,10,UoW Bikes (DfT-calibrated),29211,398,2.37,942.0,3.01,20.87
2023-11-01,2023,11,UoW Bikes (DfT-calibrated),24872,413,2.01,829.0,3.05,20.89
2023-12-01,2023,12,UoW Bikes (DfT-calibrated),22439,418,1.73,724.0,3.04,21.39
2024-01-01,2024,1,UoW Bikes (DfT-calibrated),18864,417,1.46,609.0,3.06,21.07
2024-02-01,2024,2,UoW Bikes (DfT-calibrated),21696,429,1.74,748.0,3.12,21.32
2024-03-01,2024,3,UoW Bikes (DfT-calibrated),24588,430,1.84,793.0,3.06,21.34
2024-04-01,2024,4,UoW Bikes (DfT-calibrated),23129,427,1.81,771.0,3.02,20.55
2024-05-01,2024,5,UoW Bikes (DfT-calibrated),28413,439,2.09,917.0,3.1,21.06
2024-06-01,2024,6,UoW Bikes (DfT-calibrated),28060,435,2.15,935.0,3.06,21.06
2024-07-01,2024,7,UoW Bikes (DfT-calibrated),30286,451,2.17,977.0,3.06,21.18
2024-08-01,2024,8,UoW Bikes (DfT-calibrated),30230,451,2.16,975.0,3.06,20.85
2024-09-01,2024,9,UoW Bikes (DfT-calibrated),29299,455,2.15,977.0,3.1,20.81
2024-10-01,2024,10,UoW Bikes (DfT-calibrated),32858,456,2.32,1060.0,3.1,21.18
2024-11-01,2024,11,UoW Bikes (DfT-calibrated),29408,472,2.08,980.0,3.08,20.83
2024-12-01,2024,12,UoW Bikes (DfT-calibrated),24038,469,1.65,775.0,3.0,20.42
