index,design,pv_kwp,battery_kwh,n_chargers,expected_cost,worst_cost,robustly_feasible
1,PV=5kWp | BESS=0kWh | 8 chargers,5,0,8,6444.989980214725,44828.39875971934,False
31,PV=10kWp | BESS=0kWh | 8 chargers,10,0,8,6754.671064750657,44508.682400101185,False
61,PV=15kWp | BESS=0kWh | 8 chargers,15,0,8,7125.746518425819,44395.210177423476,False
91,PV=20kWp | BESS=0kWh | 8 chargers,20,0,8,7525.165507097527,44368.92953387189,False
96,PV=20kWp | BESS=10kWh | 8 chargers,20,10,8,8752.689286317978,43955.44990818734,False
126,PV=25kWp | BESS=10kWh | 8 chargers,25,10,8,9151.778270511928,43444.60167379467,False
101,PV=20kWp | BESS=20kWh | 8 chargers,20,20,8,9725.4384407879,43424.60700230626,False
76,PV=15kWp | BESS=30kWh | 8 chargers,15,30,8,10076.844158270216,43167.48629357152,False
131,PV=25kWp | BESS=20kWh | 8 chargers,25,20,8,10097.063224877276,42918.550570914755,False
51,PV=10kWp | BESS=40kWh | 8 chargers,10,40,8,10352.252320379816,42454.41504010129,False
106,PV=20kWp | BESS=30kWh | 8 chargers,20,30,8,10369.06520781101,41581.44973121666,False
81,PV=15kWp | BESS=40kWh | 8 chargers,15,40,8,10548.240744017792,38886.303376590615,True
111,PV=20kWp | BESS=40kWh | 8 chargers,20,40,8,10838.916891645325,36700.05987514538,True
86,PV=15kWp | BESS=50kWh | 8 chargers,15,50,8,11111.248312129313,35200.2941150113,True
116,PV=20kWp | BESS=50kWh | 8 chargers,20,50,8,11415.055603674444,33266.536134619215,True
146,PV=25kWp | BESS=50kWh | 8 chargers,25,50,8,11777.965586759949,32450.406740277736,True
